lat,lon
40.7177163973,-73.9918354199
33.4494380502,-112.00213969
33.4463802704,-111.901887562
41.8782437797,-87.6298433623
37.6886815741,-122.409330374
38.8861652156,-77.0487833307
33.3573445623,-111.822654108
33.7666362322,-84.3932891848
42.3632186398,-71.0736876086
47.6062447174,-122.332043826
36.117229143,-115.171073423
34.0603975546,-118.248709027
44.9779478203,-93.2673008853
30.267183617,-97.7431192813
40.76687624,-73.8333534905
39.7358301526,-104.986580428
39.951680373,-75.1627359239
34.0354869531,-118.438997719
32.9808933822,-117.078117978
32.8030205353,-96.7698974349
37.3478711439,-121.947287224
28.5435015466,-81.3764286229
32.7113444339,-117.153638748
32.2217131518,-110.926535153
34.1274022191,-118.351883725
29.7626977547,-95.3823137047
43.0405328168,-87.914332566
33.8173064339,-117.891249171
37.390292432,-122.087286436
25.78581242,-80.2179380368
45.5234832146,-122.676280421
33.5697346035,-112.314015838
33.6743026598,-117.858789268
-6.21276665639,106.844659812
27.9494460796,-82.4650736
34.160210385,-118.223616573
39.1000948756,-94.5824387017
35.227263381,-80.8431816171
43.6529502219,-79.3826088698
37.79314222,-122.266383272
39.9968324051,-82.9999549332
39.7684502806,-86.1582494342
33.8729860116,-118.362091147
47.645224584,-122.168674816
39.2862503078,-76.614669291
34.0489281,-111.0937311
40.4391746445,-79.9956503328
34.1314601492,-118.118011806
40.7666683193,-74.1924955489
37.5437249374,-122.302308562
33.6508959929,-117.752073973
33.8098779553,-118.148923807
40.8701482608,-73.8593886399
29.4249166324,-98.4936241079
41.4874845304,-81.7074692621
26.1208626586,-80.1589066802
35.7713142228,-78.6367140966
38.645525338,-90.22935879
51.5029912609,-0.12553728871
44.9620340678,-93.1191077966
38.5815330878,-121.495651457
40.708071024,-73.5844003195
38.9852215236,-77.4059723361
38.868320419,-77.2433993562
34.0912975346,-117.980389453
39.1285678085,-84.5030926995
40.7595999548,-111.896077779
37.542944669,-77.4685887934
36.164203998,-86.7814398082
35.2013516,-111.639249
49.2401719783,-123.111860223
39.0056565492,-77.1265309818
40.0149856,-105.2705456
32.8775840594,-97.014731469
40.9847183989,-73.7742390972
34.0618855737,-117.671784578
41.2535275,-95.9993827782
40.4888751896,-74.4226114902
29.966228186,-90.0772990205
41.8543565006,-87.8568999485
42.0652007133,-87.80762188
37.6930336787,-122.097844778
44.8847971196,-93.3270322914
30.3326448916,-81.6543053277
40.7258096394,-74.2991960394
43.0728378947,-89.3999034224
40.6242288329,-74.225849339
33.8883253428,-118.048928172
42.8999361257,-78.8734140681
38.9858973366,-94.6722020437
34.1981820709,-118.549276808
33.0118233943,-96.7015866191
26.0100982493,-80.1999905857
34.0560122326,-84.3168902726
40.6099185881,-74.1194952089
43.1622016389,-77.6110725847
33.9680469542,-84.5680670756
43.0488843868,-76.1451762636
42.3315517195,-83.0445352406
34.0750788256,-117.816471886
36.0837927705,-86.6505529158
42.9581002234,-85.6680542371
28.6404027,-81.3438759163
-0.3012262,36.5229641
35.1495343,-90.0489801
-23.5495183462,-46.6382188812
42.4811898922,-83.1612989224
47.4525996504,-122.259313221
19.4303244254,-99.1410718342
38.2534614149,-85.759421314
37.5911196289,-122.020734836
39.0943562259,-77.17691475
37.9350394777,-122.524048235
39.9238515673,-74.9900514082
35.7891041673,-78.80416964
42.0694061818,-88.0048002273
41.7875515505,-88.1307637383
42.2710333311,-83.7266235292
41.050868183,-73.5485196142
33.983935874,-118.007404973
40.065524633,-74.3943064155
36.033669,-115.002364
36.778261,-119.4179324
32.726070496,-97.321011282
28.399507407,-81.537411049
42.2836792434,-85.5861645525
44.8739448449,-93.4811178969
39.1019614265,-76.6416129704
33.180450702,-117.367691767
27.7791552505,-82.6475371186
45.5063052835,-73.5596537825
40.055476099,-75.3335181
42.5169131515,-83.3117352536
39.9765158427,-86.0514814583
35.4685426179,-97.51679604
41.5971014106,-93.7264591479
37.9159078,-122.060760173
33.2362374707,-111.624031498
32.7843057374,-79.9205039857
43.0021806489,-88.0143771767
40.8135667489,-74.4314960533
42.3149251247,-83.4180204787
39.6187954391,-104.993854311
34.3931798744,-118.542477257
26.3525711663,-80.0852787174
33.9997733424,-84.1520556506
38.9516029365,-92.3343964929
32.783560494,-97.123181975
32.8816214476,-97.1829085964
42.0090408855,-88.0961723277
30.4416425602,-84.2858799458
35.9940329,-78.898619
35.9130061949,-79.0570751962
38.5273511228,-90.3810519203
40.724220581,-73.4000373848
-6.91310210127,107.607742759
39.8549331127,-105.038304195
1.35083660256,103.820220413
26.200584641,-80.2507161256
39.0824626949,-77.5254436308
39.5298359115,-119.811452158
33.9243152104,-84.2790094675
41.1350897247,-73.3464990922
35.0844909,-106.6511367
39.8563609447,-75.1119670658
25.7053497211,-80.2834287382
45.0486774908,-93.4039535132
32.7937055632,-116.987878503
40.2880650653,-74.0249913093
40.291521692,-74.682392796
43.5870665973,-116.195863984
21.3055708649,-157.856817284
40.5858157527,-105.085143741
31.7587198,-106.4869314
40.5329966644,-74.2959513795
37.6846486592,-121.903596396
33.136918969,-96.8482683775
42.6269734214,-83.1985474843
42.7328466186,-84.5336769443
33.0182368826,-117.282993978
42.3273715391,-71.3628507478
38.8338816,-104.8213634
37.09024,-95.712891
40.1456119397,-75.2832133721
40.8074544588,-96.68141625
36.8115821224,-76.2845886343
41.297705606,-72.9541456299
33.7888322478,-84.2675449896
33.0581063,-112.0476423
48.857765547,2.34579836515
41.6003218985,-93.6076510848
40.0122326016,-74.9318781938
39.2115192766,-76.850373775
40.1484097422,-74.0487353031
39.7294319,-104.8319195
36.8529263,-75.977985
42.454661081,-83.4235985825
33.9556792286,-83.3815783429
41.0942622016,-81.5066809651
41.1307563968,-73.9996172435
33.1622098774,-96.6495485806
39.3476103613,-76.7722004871
35.9634935639,-83.9171275098
41.8224861377,-71.408106023
33.1306953164,-117.124322526
44.8869746148,-92.970317618
41.6811683583,-86.2389442233
47.34608157,-122.2690195
13.7310111712,100.513362047
40.4102402627,-74.2471195661
-6.31469811525,106.813151756
40.3542309508,-74.1156747458
35.6800056224,139.706056291
44.7820870241,-93.1836724966
34.8525673333,-82.3920335088
41.7950035491,-72.6909231614
44.0517621053,-123.083347037
36.0331164,-86.7827772
34.4219613643,-119.693467614
39.9753519607,-105.093241427
41.4517049929,-81.8481970071
43.6616148536,-70.2543139821
40.5636246145,-74.5260342618
33.4516237945,-117.647024453
37.566535,126.9779692
34.068120213,-117.226840491
42.5315665167,-82.9643414259
32.950111,-96.8839169833
39.753989734,-84.1896570774
41.834299834,-72.564616917
34.0003015113,-81.0370314623
34.1641826396,-118.826450394
44.4805511868,-73.1967836132
40.9479843038,-74.273485166
41.1699096075,-73.2181118679
37.6922361,-97.3375448
40.5942228404,-111.878982548
32.7925748192,-117.224742858
42.7531482392,-71.4595449098
45.0993245667,-93.2744349471
41.826902251,-88.3132385608
27.9547452294,-82.7909158902
30.4507462,-91.154551
42.21333552,-87.97050709
47.78685907,-122.191604392
39.165325,-86.5263857
33.955129368,-117.397065084
43.5499749,-96.700327
27.916103902,-82.248417849
-7.26771537143,112.741673265
40.1130731796,-74.9182825714
47.987896502,-122.199018469
42.5226011612,-70.9078836449
33.6502843604,-84.4375800063
38.8223861979,-77.4201521396
36.0725413292,-79.7944798333
26.7083577292,-80.0519220333
42.2428485521,-70.9638145125
40.8671744957,-73.3805551681
36.1539816,-95.992775
13.7867983383,100.615515391
-22.9035393,-43.2095869
38.7203514319,-121.244884155
28.2919557,-81.407571
27.6648274,-81.5157535
33.4858127696,-86.799240813
38.7423883783,-77.2191320478
41.7207068239,-87.7146183739
32.062687937,-81.1015702087
28.5290503717,-81.556475687
