PD;qn01;Unit_qn01;qn02;Unit_qn02;qn03;Unit_qn03;qn04;Unit_qn04;qn05;Unit_qn05;qn06;Unit_qn06;qn07;qn08;qn09;qn10
0.000850;7687.566348;MLN;3207.941326;MLN;214895.7348;MLN;99353.80034;MLN;105715.5688;MLN;107403.0299;MLN;55.12408;18.48;16.28;0.34232
0.001417;2964.51056;MLN;2818.24576;MLN;70661.71464;MLN;46372.93144;MLN;119150.504;MLN;126317.7256;MLN;584.84624;16.3504;13.552;0.19976
0.001850;465.0538992;MLN;252.934132;MLN;9106.778604;MLN;1928.047942;MLN;8194.203732;MLN;7310.275579;MLN;20.30688;14.344;14.1944;1.18624
0.002550;518.2573264;MLN;585.4638944;MLN;16699.70345;MLN;3868.887924;MLN;23288.20195;MLN;16892.30213;MLN;N/A;11.6688;8.6328;0.34584
0.003317;792.5630944;MLN;354.3003376;MLN;6839.367102;MLN;34.3613336;MLN;6550.243075;MLN;6428.804281;MLN;108.94576;21.4456;21.4456;3.28064
0.002050;644.4072008;MLN;740.3113872;MLN;22386.10818;MLN;11607.85649;MLN;16707.92843;MLN;12695.85651;MLN;9.93784;12.98;11.8976;0.4048
0.007417;327.934112;MLN;107.2817152;MLN;7024.052957;MLN;985.8319944;MLN;7382.721826;MLN;N/A;MLN;29.4448;16.1832;N/A;0.9856
0.000250;142.7544976;MLN;447.3293528;MLN;3802.443181;MLN;0;MLN;4891.018053;MLN;0;MLN;91.57984;0;0;0.66264
0.077650;227.3993568;MLN;74.9179024;MLN;1071.892809;MLN;329.8537968;MLN;1181.46365;MLN;1510.96;MLN;22.48664;13.4464;8.9584;0.06424
0.000550;8493.408;MLN;3930.432;MLN;138188.952;MLN;68630.496;MLN;128508.6;MLN;97471.968;MLN;44.5192;16.104;13.992;0.6424
0.000450;819066.16;MLN;4730.0616;MLN;291310.184;MLN;206356.8936;MLN;176213.6552;MLN;137287.6648;MLN;104.544;19.008;16.28;0.4928
0.162050;220.3784;MLN;181.236;MLN;1761.32;MLN;277.5256;MLN;1707.728;MLN;2230.0432;MLN;17.6;19.008;16.456;0.66
0.001383;40282.88;MLN;27145.36;MLN;516523.92;MLN;365108.48;MLN;805353.12;MLN;879096.24;MLN;231.18216;13.1912;11.2112;0.87384
0.009150;773.52;MLN;334.576;MLN;12084.864;MLN;1465.112;MLN;11233.552;MLN;14003.44;MLN;29.7088;13.728;12.936;1.0648
0.024883;312.56368;MLN;265.078;MLN;3684.736;MLN;785.928;MLN;5083.584;MLN;N/A;MLN;150.1984;12.232;N/A;1.3288
0.009217;2369.378941;MLN;866.8;MLN;18953.47546;MLN;3282.4;MLN;14.13808;MLN;N/A;MLN;5.6144;13.6664;10.5688;0.7304
0.000550;169.8312;MLN;268.97816;MLN;10340.22616;MLN;677.12832;MLN;11520.33696;MLN;6257.68;MLN;817.3572;13.376;13.288;0.52712
0.023850;103.9456;MLN;50.1424;MLN;1295.8176;MLN;328.6008;MLN;645.4448;MLN;1357.3472;MLN;64.0112;11.3168;N/A;0
0.000383;8989.681598;MLN;8193.961934;MLN;218316.4187;MLN;106748.8536;MLN;267990.7154;MLN;160882.6781;MLN;99.0572;12.672;10.824;0.63008
0.001850;6080.143098;MLN;2042.950897;MLN;133913.7801;MLN;19692.18532;MLN;71514.38925;MLN;114932.6497;MLN;135.1724;11.0088;8.2368;0.44088
0.020083;3722.31809;MLN;557.962988;MLN;29986.72134;MLN;0;MLN;29965.25629;MLN;39248.64187;MLN;4.46072;10.3488;7.9024;-0.87296
0.000550;2241.36;MLN;978.296;MLN;51056.808;MLN;19137.888;MLN;56026.344;MLN;65956.968;MLN;29.04;14.696;13.816;1.144
0.001583;2019.354269;MLN;1991.614645;MLN;59882.17589;MLN;18205.53642;MLN;74128.61424;MLN;68251.4228;MLN;130.30336;12.0912;8.4304;0.6204
0.001850;1108.006196;MLN;719.8770216;MLN;36291.54441;MLN;2718.031897;MLN;36620.81146;MLN;29202.37955;MLN;148.15064;11.88;8.36;0.51568
0.017517;1168.769219;MLN;420.1499456;MLN;12457.68975;MLN;1535.838858;MLN;6644.465247;MLN;14440.77494;MLN;56.95008;13.5256;7.9464;0.25696
0.004850;1795.4024;MLN;394.856;MLN;13090.5632;MLN;N/A;MLN;13843.9312;MLN;N/A;MLN;7.8496;14.52;9.416;1.4872
0.062050;144.31912;MLN;165.20592;MLN;3351.16584;MLN;472.47376;MLN;3621.8864;MLN;3379.7456;MLN;188.35784;14.7224;10.9824;-2.0768
0.001850;995.3533128;MLN;938.0599008;MLN;15549.70087;MLN;48398.85113;MLN;23628.26389;MLN;29880.71908;MLN;103.87432;15.048;12.672;0.26224
0.067883;4476.56;MLN;741.84;MLN;15190.56;MLN;14396.8;MLN;48428.16;MLN;28106.32;MLN;790.24;8.448;N/A;0.88
0.002083;581.3397656;MLN;242.5514784;MLN;14282.68235;MLN;4723.652516;MLN;16503.82592;MLN;20046.54185;MLN;105.93088;14.9072;12.3816;1.24872
0.001850;6500.56;MLN;3116.08;MLN;121533.28;MLN;98914.64;MLN;92154.48;MLN;93977.84;MLN;73.0224;16.544;13.728;0.3872
0.000850;163.8302688;MLN;253.0632104;MLN;5937.627458;MLN;449.0918432;MLN;12169.38657;MLN;3459.328814;MLN;79.96736;16.192;16.192;-0.05192
0.023850;334.673152;MLN;72.8930136;MLN;2030.759931;MLN;484.0187616;MLN;2074.766021;MLN;2833.48802;MLN;14.09056;11.352;N/A;-1.6324
0.000550;5484.16;MLN;1941.808;MLN;115678.552;MLN;23736.152;MLN;113331.064;MLN;76544.248;MLN;43.1024;15.6112;12.7336;0.9152
0.012550;215.5109264;MLN;106.410524;MLN;3618.652558;MLN;571.01132;MLN;3422.549724;MLN;N/A;MLN;164.94368;11.9768;N/A;0.13376
0.077650;227.3993568;MLN;74.9179024;MLN;1071.892809;MLN;329.8537968;MLN;1181.46365;MLN;1510.96;MLN;22.48664;13.4464;8.9584;0.06424
0.000250;6056.16;MLN;3045.68;MLN;178545.84;MLN;49268.56;MLN;199248.72;MLN;N/A;MLN;175.1288;N/A;N/A;0.8976
0.002550;325.068392;MLN;188.832864;MLN;8234.778728;MLN;1462.85568;MLN;9517.711544;MLN;8408.091032;MLN;144.04368;8.5096;6.9696;0.29568
0.000883;55236.368;MLN;24159.96;MLN;752116.904;MLN;309913.296;MLN;584620.872;MLN;561062.568;MLN;29.568;12.672;11.088;0.528
0.062050;246920.08;THD;47065.04;THD;1385170.16;THD;278498;THD;2346374.8;THD;2620090.88;THD;53.1784;7.216;6.5384;-2.1384
0.023850;2901.184;MLN;532.928;MLN;12831.016;MLN;4484.216;MLN;15029.432;MLN;24027.784;MLN;88.792;13.816;9.328;0.176
0.000450;44392.48;MLN;49848.48;MLN;819155.04;MLN;483200.96;MLN;1056042.24;MLN;1236910.4;MLN;N/A;13.816;11.352;0.616
0.001850;2687.289968;MLN;1104.981662;MLN;52346.85982;MLN;12429.45411;MLN;61396.537;MLN;57189.0457;MLN;307.50984;15.136;12.056;0.6292
0.062050;244.2344168;MLN;112.5194312;MLN;884.7777576;MLN;70.5591832;MLN;955.5361728;MLN;1052.572866;MLN;460.64832;20.416;13.64;-3.70744
